RunOrder,StdOrder,RunType,Replicate,A_LaunchAngle,B_ArmLength,C_RubberBands,LaunchAngle_deg,ArmLength_cm,RubberBands_count,Distance_cm
1,15,Corner,3,-1,-1,1,15,7.5,4,122
2,19,Corner,1,-1,1,1,15,11.5,4,128
3,14,Corner,2,-1,-1,1,15,7.5,4,144
4,3,Corner,3,-1,-1,-1,15,7.5,2,61
5,10,Corner,1,1,1,-1,45,11.5,2,49.5
6,18,Corner,3,1,-1,1,45,7.5,4,49
7,22,Corner,1,1,1,1,45,11.5,4,59.9
8,11,Corner,2,1,1,-1,45,11.5,2,41.1
9,5,Corner,2,1,-1,-1,45,7.5,2,39.8
10,20,Corner,2,-1,1,1,15,11.5,4,140.5
11,28,Center,4,0,0,0,30,9.5,3,71.1
12,24,Corner,3,1,1,1,45,11.5,4,49.2
13,9,Corner,3,-1,1,-1,15,11.5,2,47.4
14,27,Center,3,0,0,0,30,9.5,3,69.8
15,8,Corner,2,-1,1,-1,15,11.5,2,59.9
16,26,Center,2,0,0,0,30,9.5,3,65.4
17,7,Corner,1,-1,1,-1,15,11.5,2,61.4
18,30,Center,6,0,0,0,30,9.5,3,67.1
19,25,Center,1,0,0,0,30,9.5,3,61.9
20,17,Corner,2,1,-1,1,45,7.5,4,55.4
21,4,Corner,1,1,-1,-1,45,7.5,2,35.4
22,1,Corner,1,-1,-1,-1,15,7.5,2,80.5
23,23,Corner,2,1,1,1,45,11.5,4,63.3
24,21,Corner,3,-1,1,1,15,11.5,4,130.5
25,29,Center,5,0,0,0,30,9.5,3,50.5
26,13,Corner,1,-1,-1,1,15,7.5,4,149.4
27,16,Corner,1,1,-1,1,45,7.5,4,52.4
28,2,Corner,2,-1,-1,-1,15,7.5,2,61.5
29,12,Corner,3,1,1,-1,45,11.5,2,41.3
30,6,Corner,3,1,-1,-1,45,7.5,2,36.8
